LOAN_ID,SAFE_DECISION,AMBITIOUS_DECISION
6151,True,True
6367,False,False
6373,True,True
6435,True,True
6450,True,True
6452,False,False
6641,True,True
6751,True,True
6776,True,True
6828,True,True
7038,True,True
7176,True,True
7203,True,True
7258,True,True
7852,True,True
8418,True,True
8586,True,True
8872,True,True
8922,True,True
8926,False,False
8943,True,True
9767,True,True
9934,True,True
9945,False,False
10253,True,True
10489,True,True
10493,True,True
10551,True,True
10570,False,False
11252,True,True
11278,False,False
11616,True,True
11642,True,True
11717,True,True
12145,True,True
12196,True,True
12231,True,True
12265,True,True
691046,True,True
691048,True,True
691049,True,True
691057,True,True
691058,True,True
691061,True,True
691069,True,True
691074,False,False
691077,True,True
691078,True,True
691079,True,True
691080,True,True
691082,True,True
691086,True,True
691092,True,True
691099,True,True
691114,True,True
691115,False,False
691116,True,True
691119,True,True
691121,True,True
691125,True,True
691128,True,True
691133,True,True
691145,True,True
691146,True,True
691151,True,True
691153,True,True
691159,True,True
691165,False,False
691166,True,True
691167,False,False
691170,True,True
691175,True,True
691179,True,True
691182,True,True
691183,True,True
691194,True,True
691196,True,True
691203,True,True
691209,False,False
691210,True,True
691212,True,True
691220,True,True
691226,True,True
691231,True,True
691234,True,True
691242,True,True
691248,True,True
691257,True,True
691263,False,False
691264,True,True
691267,True,True
691270,True,True
691278,True,True
691288,True,True
691309,True,True
691316,True,True
691317,False,True
691323,True,True
691336,True,True
691367,True,True
691369,True,True
691375,True,True
691376,True,True
691377,True,True
691379,True,True
691383,True,True
691393,False,False
691395,True,True
691418,True,True
691423,True,True
691426,True,True
691431,True,True
691436,False,True
691445,False,True
691448,False,True
691452,True,True
691468,True,True
691491,True,True
691496,True,True
691497,False,False
691509,True,True
691510,True,True
691517,True,True
691518,True,True
691519,True,True
691521,True,True
691526,True,True
691528,True,True
691535,True,True
691548,True,True
691558,True,True
691563,False,True
691566,True,True
691568,True,True
691572,True,True
691574,True,True
691587,True,True
691593,True,True
691595,True,True
691605,True,True
691622,True,True
691628,False,False
691634,False,True
691635,True,True
691638,True,True
691643,True,True
691647,True,True
691650,True,True
691651,True,True
691659,False,True
691660,True,True
691662,True,True
691671,False,False
691677,True,True
691681,True,True
691683,False,False
691709,True,True
691713,True,True
691714,True,True
691726,True,True
691734,True,True
691737,True,True
691744,True,True
691759,True,True
691762,True,True
691763,False,False
691764,True,True
691767,False,False
691768,True,True
691770,True,True
691772,True,True
691780,False,True
691782,True,True
691795,True,True
691796,True,True
691810,True,True
691815,True,True
691823,True,True
691825,False,False
691832,True,True
691833,True,True
691840,True,True
691853,True,True
691854,True,True
691855,True,True
691859,True,True
691867,True,True
691888,True,True
691904,True,True
691907,True,True
691910,True,True
691926,False,False
691928,True,True
691931,True,True
691940,True,True
691946,True,True
691947,True,True
691948,False,False
691949,True,True
691952,True,True
691964,False,True
691983,True,True
691985,False,True
691991,True,True
691993,True,True
692000,True,True
692012,True,True
692035,True,True
692038,True,True
692039,True,True
692041,True,True
692046,True,True
692051,True,True
692054,True,True
692066,True,True
692069,True,True
692076,True,True
692087,True,True
692091,True,True
692094,True,True
692105,True,True
692124,True,True
692134,True,True
692156,True,True
692171,True,True
692179,False,True
692180,True,True
692185,False,False
692186,True,True
692199,True,True
692202,True,True
692205,True,True
692214,True,True
692224,True,True
692228,True,True
692247,True,True
692248,True,True
692252,True,True
692266,True,True
692268,False,False
692275,True,True
692279,True,True
692282,True,True
692300,True,True
692329,True,True
692354,True,True
692358,True,True
692362,True,True
692368,True,True
692372,True,True
692388,False,False
692389,True,True
692398,True,True
692401,True,True
692409,True,True
692412,True,True
692420,True,True
692438,True,True
692439,False,True
692443,True,True
692459,False,False
692464,True,True
692473,True,True
692479,True,True
692497,True,True
692500,True,True
692502,True,True
692519,False,False
692626,True,True
692628,True,True
692634,True,True
692639,True,True
692646,True,True
692651,True,True
692656,True,True
692658,True,True
692667,True,True
692674,True,True
692676,False,False
694625,True,True
695316,False,False
695337,True,True
695340,False,False
695360,True,True
695378,True,True
695382,True,True
695387,False,True
695392,True,True
695409,False,True
695438,True,True
695441,True,True
695458,True,True
695463,True,True
695464,True,True
695473,True,True
695476,True,True
695483,True,True
695492,True,True
695495,True,True
695500,True,True
695507,True,True
695511,False,False
695528,True,True
695531,True,True
695538,True,True
695553,True,True
695555,False,True
695560,True,True
695567,True,True
695569,True,True
695585,True,True
695641,True,True
695646,False,False
695652,True,True
695657,True,True
695677,True,True
695681,True,True
695682,True,True
695684,False,False
695700,False,False
695715,True,True
695717,True,True
695741,False,True
695744,True,True
695752,True,True
695754,True,True
695761,True,True
695769,True,True
695773,True,True
695786,True,True
695794,True,True
695796,True,True
695798,True,True
695801,True,True
695805,True,True
695811,True,True
695815,True,True
695827,True,True
695834,True,True
695840,True,True
695843,True,True
695848,True,True
695851,True,True
695858,True,True
695874,True,True
695875,True,True
695884,True,True
695887,False,False
695899,True,True
695902,False,False
695918,False,True
695919,True,True
695929,True,True
695931,True,True
695963,True,True
695968,True,True
695974,False,False
695977,True,True
695981,True,True
695984,False,False
695986,True,True
696010,True,True
696048,True,True
696055,True,True
696061,True,True
696062,True,True
696082,True,True
696083,True,True
696086,False,False
696096,True,True
696099,False,False
696115,False,True
696121,True,True
696129,True,True
696136,False,False
696145,True,True
696158,True,True
696159,False,True
696175,False,False
696192,True,True
696198,True,True
696222,True,True
696225,True,True
696230,True,True
696233,True,True
696246,True,True
696248,True,True
696254,True,True
696259,True,True
696269,False,True
696271,True,True
696275,True,True
696280,True,True
696289,True,True
696304,True,True
696310,True,True
696311,True,True
696312,True,True
696317,True,True
696324,True,True
696332,True,True
696336,True,True
696367,True,True
696370,True,True
696371,True,True
696392,True,True
696393,True,True
696404,False,False
696410,True,True
696413,True,True
696426,True,True
696436,True,True
696449,False,True
696452,True,True
696455,True,True
696461,True,True
696467,True,True
696469,True,True
696485,True,True
696490,False,False
696496,True,True
696498,True,True
696505,True,True
696507,False,True
696508,True,True
696512,True,True
696520,True,True
696544,True,True
696546,True,True
696559,False,False
696561,True,True
696563,True,True
696566,True,True
696571,True,True
696574,False,True
696576,True,True
696577,True,True
696578,True,True
696583,False,False
696590,False,False
696593,True,True
696625,False,False
696627,True,True
696636,True,True
696642,True,True
696643,True,True
696648,True,True
696650,False,True
696655,True,True
696657,True,True
696658,False,False
696660,True,True
696667,False,True
696670,True,True
696675,True,True
696683,True,True
696695,True,True
696709,True,True
696728,False,False
696741,False,False
696760,True,True
696764,True,True
696767,False,False
696777,True,True
696787,True,True
696796,True,True
696805,True,True
696806,True,True
696812,False,True
696814,True,True
696819,True,True
696824,True,True
696828,True,True
696834,True,True
696842,True,True
696844,True,True
696845,True,True
696849,False,True
696850,True,True
696851,False,True
696863,True,True
696864,False,False
696865,True,True
696867,True,True
696868,True,True
696871,True,True
696872,True,True
696874,True,True
696875,True,True
696877,True,True
696879,True,True
696880,True,True
696884,True,True
696900,True,True
696903,True,True
696907,True,True
696908,False,False
696916,True,True
696918,True,True
696923,True,True
696929,True,True
696947,True,True
696952,True,True
696957,True,True
696958,True,True
696960,True,True
696965,True,True
696968,True,True
696969,False,True
696984,True,True
696993,False,False
696994,True,True
697003,True,True
697020,True,True
697026,True,True
697029,False,False
697030,True,True
697031,False,False
697035,True,True
697039,True,True
697040,True,True
697044,True,True
697046,True,True
697052,True,True
697058,True,True
697063,False,True
697067,True,True
697071,True,True
697075,True,True
697081,True,True
697083,True,True
697091,True,True
697094,True,True
697104,False,True
697110,False,False
697113,True,True
697123,True,True
697137,True,True
697140,True,True
697141,False,False
697146,True,True
697147,True,True
697151,False,False
697154,True,True
697162,True,True
697169,True,True
697173,True,True
697177,True,True
697183,True,True
697185,True,True
697197,True,True
697200,True,True
697201,True,True
697203,True,True
697204,True,True
697220,True,True
697232,True,True
697233,False,False
697237,True,True
697239,True,True
697248,True,True
697249,False,False
697256,True,True
697259,True,True
697266,True,True
697272,False,False
697277,True,True
697278,True,True
697282,False,False
697283,True,True
697284,True,True
697285,False,False
697286,True,True
697287,False,True
697299,True,True
697300,True,True
697308,True,True
697310,True,True
697313,True,True
697330,True,True
697334,True,True
697335,True,True
697341,True,True
697344,True,True
697347,True,True
697349,True,True
697352,True,True
697358,False,True
697365,True,True
697366,True,True
697369,True,True
697372,True,True
697378,True,True
697380,True,True
697382,False,False
697383,True,True
697397,True,True
697403,True,True
697406,True,True
697410,False,False
697412,True,True
697416,False,False
697422,True,True
697424,True,True
697425,True,True
697427,False,False
697429,False,False
697432,False,True
697438,True,True
697440,False,False
697462,True,True
697463,True,True
697467,True,True
697474,True,True
697475,True,True
697479,True,True
697480,True,True
697488,True,True
697499,True,True
697503,False,False
697504,True,True
697507,True,True
697511,True,True
697514,True,True
697527,True,True
697538,True,True
697539,False,False
697540,True,True
697545,True,True
697552,True,True
697561,True,True
697567,False,False
697571,True,True
697572,False,True
697573,False,True
697588,True,True
697591,False,True
697592,False,True
697607,True,True
697610,False,False
697620,False,False
697624,True,True
697625,False,False
697642,True,True
697643,True,True
697644,True,True
697646,True,True
697654,True,True
697655,True,True
697658,True,True
697659,True,True
697662,True,True
697663,True,True
697665,True,True
697679,True,True
697682,False,False
697688,True,True
697690,True,True
697698,True,True
697702,True,True
697703,True,True
697719,True,True
697725,True,True
697732,True,True
697734,False,False
697758,True,True
697760,False,False
697761,True,True
697769,True,True
697780,True,True
697796,True,True
697799,True,True
697803,True,True
697805,True,True
697817,True,True
697838,False,False
697840,True,True
697853,True,True
697857,False,False
697868,True,True
697869,True,True
697879,False,True
697886,True,True
697896,True,True
697899,True,True
697916,True,True
697932,False,True
697954,False,True
697955,True,True
697959,False,True
697960,True,True
697961,True,True
697962,True,True
697973,True,True
697982,True,True
697985,True,True
697994,True,True
698000,True,True
698001,True,True
698023,True,True
698057,True,True
698068,True,True
698087,True,True
698090,True,True
698099,True,True
698102,True,True
698104,True,True
698106,True,True
698114,True,True
698118,True,True
698133,True,True
698136,True,True
698138,False,False
698142,True,True
698144,True,True
698151,True,True
698158,True,True
698159,True,True
698162,False,False
698165,True,True
698169,True,True
698171,True,True
698176,True,True
698194,False,False
698200,True,True
698203,True,True
698212,True,True
698226,True,True
698230,True,True
698234,False,True
698237,True,True
698240,True,True
698243,False,True
698254,False,True
698258,True,True
698260,True,True
698266,True,True
698276,True,True
698282,True,True
698289,True,True
698291,True,True
698298,True,True
698299,True,True
698309,True,True
698311,True,True
698314,True,True
698318,True,True
698339,True,True
698341,True,True
698349,True,True
698352,True,True
698370,True,True
698371,True,True
698390,True,True
698400,True,True
698402,True,True
698416,True,True
698424,True,True
698433,True,True
698439,False,True
698442,True,True
698450,True,True
698476,True,True
698482,True,True
698487,False,True
698492,True,True
698502,True,True
698517,False,True
698520,True,True
698521,True,True
698523,True,True
